epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,22868.154566643647,149.49878,151.2222,23593.45885630123,151.99199,153.60162
2,22831.097796529695,149.37709,151.09962,23558.61033555328,151.87605,153.48814
3,22793.955563708565,149.25046,150.97667,23518.343974129097,151.7428,153.35692
4,22750.029955110498,149.10391,150.83113,23465.199538934427,151.56757,153.18355
5,22690.109731094613,148.90332,150.63237,23393.919985911885,151.33298,152.95071
6,22612.663609288673,148.64433,150.37508,23300.683497694674,151.026,152.64561
7,22506.726260359115,148.2853,150.02242,23177.874775870903,150.62091,152.24283
8,22382.594181629833,147.86691,149.60814,23017.484310963115,150.09062,151.71515
9,22199.833703815606,147.2534,148.9961,22809.073994620903,149.39891,151.02673
10,21979.62760056975,146.50507,148.25528,22541.068359375,148.50568,150.13683
11,21662.504186809394,145.42259,147.18188,22201.578445184427,147.36693,149.00194
12,21308.995014675413,144.23647,145.976,21779.415951588115,145.93954,147.5785
13,20862.587610065606,142.66118,144.43887,21259.660828637294,144.16333,145.80693
14,20333.586930248617,140.79991,142.59589,20637.106397284835,142.00586,143.65622
15,19679.261966937156,138.4891,140.28279,19893.16476690574,139.38617,141.04314
16,18916.382467196134,135.72946,137.53683,19025.987640881147,136.26735,137.93472
17,18076.93244993094,132.60065,134.45049,18028.091476690573,132.58685,134.26872
18,16888.00937715815,128.09573,129.95389,16898.163742315573,128.288,129.99294
19,15798.1018214779,123.78559,125.690506,15639.444656121927,123.326294,125.05776
20,14530.69107173688,118.62472,120.54331,14273.926821849385,117.70052,119.47353
21,13294.91223886395,113.28052,115.30356,12812.69627305328,111.3656,113.193184
22,11638.187084556284,105.65623,107.88043,11287.825099257172,104.34157,106.24418
23,10308.31607173688,99.19097,101.52988,9728.500416239754,96.63747,98.63316
24,8743.278287940262,90.75847,93.5055,8181.910332351435,88.32818,90.45391
25,7348.93950707873,82.81281,85.72596,6688.243604316086,79.48131,81.78168
26,5765.037406120511,72.618576,75.92784,5304.332895747951,70.28026,72.83085
27,4591.687831815435,64.09092,67.76199,4056.607762070953,60.804092,63.691505
28,3405.869268765107,53.663048,58.359825,2989.4945488601434,51.32896,54.67627
29,2508.377638337362,44.704365,50.083706,2125.8792364401897,42.51807,46.107258
30,1758.2873879111273,36.486675,41.93194,1470.4483062243853,34.8281,38.346424
31,1337.1764300435946,31.108208,36.56742,1004.8072679863601,28.230183,31.698696
32,968.5841637711499,25.326231,31.122084,703.6300449058658,22.962402,26.526026
33,771.868012149031,22.297117,27.782515,521.8559080030097,19.06565,22.844168
34,690.9078460187543,20.406933,26.285126,422.91342663374104,16.72298,20.56486
35,737.6215233565694,21.852762,27.15919,375.6621436447394,15.460405,19.382006
36,706.6155247135057,20.598673,26.58224,355.44611496221825,14.74192,18.85328
37,717.1175796761697,21.510178,26.77905,347.1196461661917,14.381018,18.631147
38,695.3568162443888,20.419928,26.36962,343.36230994052573,14.245695,18.530037
39,645.6414053058097,20.874187,25.409475,341.8082262883421,14.184794,18.488056
40,651.9759561949672,20.773144,25.533821,344.0583028324315,14.280115,18.54881
41,708.4985823657631,21.087322,26.617638,344.91835647332863,14.337326,18.57198
42,653.3438720703125,20.55745,25.560593,346.28794735767804,14.406269,18.608814
43,629.5581449224145,20.104412,25.090998,348.0766103775775,14.474423,18.656813
44,654.1697168508288,20.038006,25.576742,350.91874719838626,14.598913,18.732824
45,525.9452322438277,17.78017,22.933496,354.49579632868534,14.736398,18.828058
46,617.6063222305551,20.331478,24.851686,354.4840820812788,14.743147,18.82775
47,636.1381650471556,20.086014,25.221779,352.1576740702645,14.673016,18.765863
48,623.026923922544,18.822824,24.960506,348.23888159579917,14.561128,18.66116
